Name,stdx,stdy,gaussian_fit_stdx,gaussian_fit_stdy,x_quantile_minus_1_sigma,x_quantile_plus_1_sigma,y_quantile_minus_1_sigma,y_quantile_plus_1_sigma,x_quantile_minus_2_sigma,x_quantile_plus_2_sigma,y_quantile_minus_2_sigma,y_quantile_plus_2_sigma,x_quantile_50,y_quantile_50,AT_EXIT
Q6G,0.012124566361308098,0.014940783381462097,0.013611983204466115,0.02521151695229077,-0.013223567819222808,0.012679593241773543,-0.016840060045942663,0.017542585283517834,-0.023154085744172333,0.023224556092172843,-0.02558528894558549,0.025732046253979204,-0.0004990039451513438,0.0009007091284729539,8.738737
DRIFT_T4G_Y,0.014520315453410147,0.01265778113156557,0.019955573366582498,0.0162860907329608,-0.016747544053941958,0.015858194679021838,-0.014229710735380647,0.014725460866466162,-0.026129208318889145,0.025819523446261868,-0.02187354888767004,0.022010793350636958,-0.0008168739732354879,0.0005741665372624992,8.914011
DRIFT_Q7G,0.015743831172585487,0.010588309727609158,0.02785228682345445,0.01277169411477405,-0.019021952617913486,0.017548354852944613,-0.011873039415106177,0.012249362960457802,-0.02693686250224709,0.02684394768252969,-0.018013575084507467,0.018038257323205468,-0.0008876089705154301,0.0004168774175923317,9.098737
Q7G,0.016079816967248917,0.009041259065270424,0.032226109357096286,0.010509859375186312,-0.019446700539439917,0.018023256659507752,-0.009906494736671448,0.010257840724661946,-0.027230623509734868,0.026961728785187003,-0.015036192616447806,0.015080211879685522,-0.0008511489140801133,0.0005107957986183465,9.388737
DRIFT_P3G,0.015607978217303753,0.009039077907800673,0.02762151425466613,0.010436588543784306,-0.018831283390522004,0.01731485278904438,-0.009810621917247771,0.010223433196544646,-0.026689238965511317,0.026340315818786614,-0.015029353514313696,0.015057229243218897,-0.0007843483472242951,0.0005771401338279247,9.508258
DRIFT_SL3G,0.015473308973014356,0.009024348109960556,0.0263697089727089,0.010402486671964964,-0.018632269375026225,0.01714363670349121,-0.009790309980511664,0.0101787790954113,-0.026521651800721885,0.026147971801459783,-0.0149566696472466,0.01505068404600024,-0.0007521805819123982,0.0005907365120947361,9.5544195
SL3G,0.01259876135736704,0.009135100059211254,0.034784714043138015,0.01068595403125832,-0.01511214112304151,0.014498539549298584,-0.010046215121634304,0.010347251668572423,-0.021321965374052523,0.020953504277393224,-0.015082322437316178,0.015014417780563238,-0.00036587257636711,0.0005912266497034581,9.614419
DRIFT_B2G,0.012054852209985256,0.00889026653021574,0.015688771690579237,0.010482620805313895,-0.014382205612026156,0.013619201819412409,-0.009796528968960045,0.010133108529262243,-0.02057855329476297,0.02004928899183869,-0.014869819837622344,0.014886335377581416,-0.0003065606142627076,0.0005979969282634556,9.924347
B2G,0.007666365709155799,0.006566510070115328,0.008607630543743984,0.007597518858966823,-0.008578669913113117,0.007807893790304661,-0.006955798529088496,0.007484949454665184,-0.01438843533396721,0.012960867546498774,-0.01199019216001034,0.012283918261528016,-0.00018725106201600283,0.0005721995257772505,11.756943
DRIFT_P4G,0.006909639108926058,0.006115857511758804,0.0078072172322146485,0.006985098561738883,-0.007788864489179105,0.007049792502541096,-0.00636773769184947,0.0069285976854152964,-0.01351194707956165,0.011960573825053864,-0.01128522400557995,0.01159669035021215,-0.00017575331003172323,0.0005621198506560177,11.969051
DRIFT_SMX,0.006615330465137959,0.0058989026583731174,0.0074149772917584044,0.006693519313175902,-0.007445372294634579,0.006730931880883874,-0.0061102509284392,0.006657906166277826,-0.013106967313215137,0.011431401781737802,-0.010906594820320609,0.011255514407530429,-0.00015679237549193203,0.000518683111295104,12.074654
SMX,0.006194331217557192,0.005589144304394722,0.006848362790578473,0.006278443806840071,-0.0069047918110154574,0.006236294423229995,-0.005752125082537532,0.00626868137670681,-0.012477456910535692,0.010740095825865869,-0.010405795415863395,0.010710635500028732,-9.506002243142575e-05,0.0004798644076799974,12.233653
DRIFT_SMY,0.005867261905223131,0.0053319730795919895,0.006405436850693031,0.005980316289587911,-0.0065495099406689405,0.0058387019205838435,-0.005443133011460304,0.005944443330168723,-0.012062084630131722,0.010256137199699878,-0.01002604927495122,0.010284791503101586,-9.30467722355388e-05,0.00044047992560081184,12.363999
SMY,0.0056301988661289215,0.005134126637130976,0.0060617647895474,0.005687752651622954,-0.006226133910939098,0.005556742362678049,-0.005217134732753039,0.005715915046632289,-0.011722200084477665,0.009805417738854886,-0.009708739113062621,0.009948133036494257,-8.108845213428141e-05,0.00040665399865247315,12.473
DRIFT_B3G,0.005516844801604748,0.005035992711782456,0.005897174884955943,0.0055459691021514605,-0.006089772680774331,0.005439322745427488,-0.005087578801438213,0.0056283952631056315,-0.011503697305917741,0.009681082431226968,-0.009556623362004756,0.009788636937737466,-5.044478893978521e-05,0.000404465215979144,12.528435
B3G,0.004709717817604542,0.003916142508387566,0.00417307944352913,0.003877477991021962,-0.025633765116333963,-0.017344620242714888,-0.005480245538055897,0.0022118748631328343,-0.029386520586907862,-0.013591974053531884,-0.00974551575630903,0.005543419087305667,-0.02156203612685204,-0.0018118625739589331,14.473204
DRIFT_IC1,0.004709720611572266,0.003916142974048853,0.004173084145172401,0.0038774789915128117,-0.02563377287238836,-0.017344618991017347,-0.005480245232582092,0.0022118638372048732,-0.029386523336172105,-0.01359197075664997,-0.009745510686188936,0.005543422553688289,-0.021562041714787483,-0.0018118587322533128,14.473205
IC1,0.0047837826423347,0.003959947731345892,0.004188306320042479,0.003919309858110036,-0.025650218464434143,-0.017364061139523983,-0.0055798752582632005,0.002222763380268588,-0.02944020291790366,-0.013513217978179457,-0.009753502104431393,0.005709789362736042,-0.021540367975831032,-0.0018618001486174762,14.520351
DRIFT_IC2,0.0058148521929979324,0.004848517943173647,0.004520182563170921,0.004481255005539453,-0.025950779419392347,-0.016895956112071873,-0.006351627295371145,0.0027149047395214443,-0.030283416513353586,-0.012436928107403223,-0.010160514861345293,0.007267507731448857,-0.021554179489612583,-0.002226770156994462,14.821204
IC2,0.006052668206393719,0.005067443009465933,0.00460879931009858,0.004611462764734489,-0.02604684988595545,-0.016807599337771532,-0.006494297694880515,0.0028566029889043427,-0.03049236653372645,-0.012189414038322868,-0.010336670939810574,0.007553118300624191,-0.021571136079728603,-0.002250715857371688,14.868352
DRIFT_ISO,0.009896259754896164,0.009046673774719238,0.006374713248303443,0.006661224881987233,-0.027846838070079684,-0.01493766458705068,-0.008799002734012903,0.004677114792633802,-0.034371457006782284,-0.008140676171518866,-0.014987401017919184,0.011814113998785613,-0.02149281185120344,-0.002437658491544425,15.425863
